Longitude,Latitude,Name,Comment,URL
-73.9932403,40.70258,Grimaldi's Pizzeria,also coal fired. A descendant of Lombardi's pizzeria.,https://www.google.com/maps/place/Grimaldi's+Pizzeria/data=!4m2!3m1!1s0x89c25a30c9da3783:0x8d7f4ba817ec34f6
-73.93488,40.79715,Patsy's Pizzeria,an OG joint in East Harlem. prolly the 4 pizzeria in NY,https://www.google.com/maps/place/Patsy's+Pizzeria/data=!4m2!3m1!1s0x89c2f5fd48e477bd:0xa4ee64436fea5227
-73.9813,40.59474,L&B Spumoni Gardens,"since 1939, the real deal ice cream of Italy... and a pizzeria with classic Sicilian squares",https://www.google.com/maps/place/L%26B+Spumoni+Gardens/data=!4m2!3m1!1s0x89c2445522653dab:0xbd45b8d4c4d774c9
-73.99459,40.72301,Prince St. Pizza,NOLITA!!! neighborhood slice joint. reimagining of an old Ray's pizzeria in the 2000s. the Sicilian slice. mmmhmmm.   Gotta get the Squares!  Get the corner piece. Spicy Spring Pepperoni. A top priority. Nolita is just north of Old lil Italy,https://www.google.com/maps/place/Prince+St.+Pizza/data=!4m2!3m1!1s0x89c25985f7ec1beb:0x3c39f655da433d9d
-73.88825,40.85421,Mario's Restaurant,Old style classic.  Pizza is ordered Off-Menu! Margherita is classic.,https://www.google.com/maps/place/Mario's/data=!4m2!3m1!1s0x89c2f4875c185949:0x7373c98a876e379
-73.88823,40.85457,Cosenza's Fish Market,the sidewalk clams!,https://www.google.com/maps/place/Cosenza's+Fish+Market/data=!4m2!3m1!1s0x89c2f4874fd793e7:0xfe2403d2e6af81f1
-73.88796,40.85479,Teitel Brothers Market,old style Italian market. Sausages and meats hanging! Fresh cheeses.,https://www.google.com/maps/place/Teitel+Brothers/data=!4m2!3m1!1s0x89c2f4874dc14a3f:0x229c192a20a43506
-73.99338,40.66165,Luigi's Pizza,long family owned joint. still cracking out the slices!,https://www.google.com/maps/place/Luigi's+Pizza/data=!4m2!3m1!1s0x89c25ae614c7ff57:0xc2db102b7c600406
-73.98697,40.75458,Joe's Pizza,"quintessential NY slice. Just lean on an elbow, fold and enjoy!",https://www.google.com/maps/place/Joe's+Pizza/data=!4m2!3m1!1s0x89c259924a960df1:0x43b20488619b3f43
-73.93402,40.70492,Roberta's Pizza & Bakery,Neapolitan neighborhood joint,https://www.google.com/maps/place/Roberta's+Pizza+%26+Bakery/data=!4m2!3m1!1s0x89c25d971b5fc9a5:0xc7f072ccc19e50c
-74.00335,40.73164,John's of Bleecker St.,"John's was third pizzeria. John's is prolly the best, so says the Pizza Show",https://www.google.com/maps/place/John's+of+Bleecker+St./data=!4m2!3m1!1s0x89c25993a1376eb9:0x41ca6e3a2f6d4e74
-73.98382,40.57891,Totonno's Pizzeria,Second pizzeria in NY. He was the head chef at Lombardi's. coal fired  cozy family owned joint in Coney,https://www.google.com/maps/place/Totonno's/data=!4m2!3m1!1s0x89c245b53a61bf0d:0xd339f5becd6a9492
-73.99568,40.72157,Lombardi's Pizza,first licensed pizzeria in NY. Coal Fired since 1905! Spring Street has some good joints!  the coal OG. near Nolita's too!,https://www.google.com/maps/place/Lombardi's+Pizza/data=!4m2!3m1!1s0x89c2598a1316e7a7:0xd8f10512fc3c4299
-73.99708,40.71907,Ferrara Bakery & Cafe,gotta get some pastries. Cannolis,https://www.google.com/maps/place/Ferrara+Bakery+%26+Cafe/data=!4m2!3m1!1s0x89c2598846142f4f:0xa304d8316018d607
-73.96154,40.62501,Di Fara Pizza,"OG!  this man started it all, and inspired everyone.  Awesome corner joint!!",https://www.google.com/maps/place/Di+Fara+Pizza/data=!4m2!3m1!1s0x89c244c844866933:0xbde74981ea7251bf
-73.99421,40.75565,Esposito Meat Market,meat!  game meat! made in house sausages,https://www.google.com/maps/place/Esposito+Meat+Market/data=!4m2!3m1!1s0x89c259ad5c5e6737:0xbb84ad05ca664a76
-73.83053,40.70898,Dani's House of Pizza,Action Bronson's first joint,https://www.google.com/maps/place/Dani's+House+of+Pizza/data=!4m2!3m1!1s0x89c260a51585e609:0x361bc4c995e6ba59
-73.88902,40.85356,Prince Coffee House,italian espresso's son!,https://www.google.com/maps/place/Prince+Coffee+House/data=!4m2!3m1!1s0x89c2f47d89f46d75:0x4a976ee05eae83f0
-73.88825,40.85421,Arthur Avenue Retail Market,"inside is a world of Italian meats, baked goods, etc.",https://www.google.com/maps/place/Arthur+Avenue+Retail+Market/data=!4m2!3m1!1s0x89c2f4874335cded:0x87011fd99b375fb5
-73.83279,40.69985,Alfie's Pizza,Action Bronson's second joint,https://www.google.com/maps/place/Alfie's+Pizza/data=!4m2!3m1!1s0x89c260ae63919bd9:0x365530c981899b5a
-73.88757,40.85555,Bronx Little Italy,"""Start at prince coffee house on Arthur Avenue with a fantastic coffee and great people watching.  We heard Italian at every table.  Then go up Arthur Avenue to the indoor Arthur Avenue retail market which is amazing.  Everything from cigars to every food you can imagine.  Keep going and shops, bakeries and restaurants abound.  End up at a wonderful bakery called Artuso bakery.  Go hungry!""",https://www.google.com/maps/place/Bronx+Little+Italy/data=!4m2!3m1!1s0x89c2f4874335cded:0x7d4a294c4f2fb6d
-73.95347,40.71561,Best Pizza,Pizza from the Vice Pizza Show,https://www.google.com/maps/place/Leo/data=!4m2!3m1!1s0x89c259f246a16dc1:0xffeefd33565822d9
-74.00029,40.6818,Lucali,Place with the fun loving neighborhood focused chef!,https://www.google.com/maps/place/Lucali/data=!4m2!3m1!1s0x89c25a593142dedf:0xf29a33ff1f0b6ab7
